frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y,fly6_x,fly6_y,fly7_x,fly7_y,fly8_x,fly8_y,fly9_x,fly9_y,fly10_x,fly10_y,fly11_x,fly11_y,fly12_x,fly12_y,fly13_x,fly13_y,fly14_x,fly14_y,fly15_x,fly15_y
10,693.9310344827587,2099.4827586206898,468.7142857142857,2158.4285714285716,1177.857142857143,839.7142857142857,1372.5714285714287,1867.4285714285713,1041.5714285714287,1356.7142857142858,1519,1016.7142857142857,1517.857142857143,920.8571428571429,1434.2857142857142,906.1428571428571,1597,2040.857142857143,980.7142857142857,2047.7142857142858,116.71428571428571,1532.4285714285713,854,1309.2857142857142,662.2857142857143,2266.5714285714284,1514.2857142857142,920.5714285714286,536.7142857142857,2626.8571428571427
11,697.2241379310344,2082.9310344827586,468.7142857142857,2158.4285714285716,1184.4285714285713,840.1428571428571,1372.7142857142858,1867.2857142857142,1041.5714285714287,1356.5714285714287,1509,1013.8571428571429,1517.7142857142858,919.7142857142857,1434.2857142857142,905.8571428571429,1597,2040.7142857142858,972.5714285714286,2053.1428571428573,116.14285714285714,1532.857142857143,854,1309.142857142857,662.2857142857143,2266.4285714285716,1514,919.4285714285714,540,2628.8571428571427
12,700.5172413793105,2066.3793103448274,468.57142857142856,2158.4285714285716,1191.2857142857142,840.5714285714286,1372.7142857142858,1867.142857142857,1041.4285714285713,1356.4285714285713,1499,1010.8571428571429,1517.5714285714287,918.7142857142857,1434.2857142857142,905.7142857142857,1597,2040.5714285714287,965,2058.1428571428573,115.71428571428571,1533.4285714285713,854,1309,662.2857142857143,2266.285714285714,1513.7142857142858,918.4285714285714,543.2857142857143,2631.285714285714
13,703.8103448275862,2049.8275862068963,468.2857142857143,2158.4285714285716,1197.857142857143,841,1372.7142857142858,1867,1041.2857142857142,1356.2857142857142,1488.857142857143,1007.5714285714286,1517.2857142857142,918,1434.2857142857142,905.4285714285714,1597,2040.4285714285713,958.1428571428571,2063,115.14285714285714,1534.142857142857,854,1309,662.1428571428571,2266.4285714285716,1513.4285714285713,917.4285714285714,547,2633.714285714286
14,707.1034482758621,2033.2758620689654,468,2158.4285714285716,1204,841.4285714285714,1372.7142857142858,1867,1041.2857142857142,1356.142857142857,1478.2857142857142,1004.4285714285714,1517.142857142857,917.4285714285714,1434.2857142857142,905,1597,2040.2857142857142,952.1428571428571,2067.285714285714,114.42857142857143,1534.857142857143,854,1309,662.1428571428571,2266.285714285714,1513.142857142857,916.5714285714286,551.1428571428571,2636.4285714285716
15,710.3965517241379,2016.7241379310346,467.7142857142857,2158.285714285714,1210,841.8571428571429,1372.7142857142858,1866.857142857143,1041.2857142857142,1356.142857142857,1422.7142857142858,1093,1516.857142857143,917.1428571428571,1434.4285714285713,904.4285714285714,1597,2040.142857142857,946.7142857142857,2071.5714285714284,113.57142857142857,1535.5714285714287,854,1309,662.1428571428571,2266.1428571428573,1506.5714285714287,921.2142857142857,555.8571428571429,2639.714285714286
16,713.6896551724138,2000.1724137931035,467.57142857142856,2158.285714285714,1215.7142857142858,842.4285714285714,1372.5714285714287,1866.857142857143,1041.2857142857142,1356,1321.7142857142858,1273.142857142857,1516.7142857142858,917,1434.4285714285713,903.8571428571429,1597.142857142857,2040,941.4285714285714,2075.5714285714284,112.85714285714286,1536,854,1309,662.1428571428571,2266.1428571428573,1493.7142857142858,931.3571428571429,561,2643
17,716.9827586206895,1983.6206896551723,467.57142857142856,2158.1428571428573,1221.4285714285713,843.1428571428571,1372.4285714285713,1866.857142857143,1041.2857142857142,1356,1222.4285714285713,1453.142857142857,1516.5714285714287,917,1434.4285714285713,903.2857142857143,1597.2857142857142,2040,936.2857142857143,2079.285714285714,112.28571428571429,1536.2857142857142,854,1309,662.1428571428571,2266.1428571428573,1479.142857142857,941.3571428571429,566.5714285714286,2646.4285714285716
18,720.2758620689656,1967.0689655172414,468,2158.1428571428573,1226.5714285714287,844.1428571428571,1372.4285714285713,1866.857142857143,1041.2857142857142,1355.857142857143,1124.857142857143,1633.4285714285713,1516.4285714285713,917,1434.5714285714287,902.8571428571429,1597.4285714285713,2040,931.1428571428571,2083.1428571428573,112,1536.2857142857142,854,1309,662.1428571428571,2266.1428571428573,1462.857142857143,951.0714285714286,572.5714285714286,2649.8571428571427
19,723.5689655172413,1950.5172413793102,468.2857142857143,2158.1428571428573,1230.857142857143,845.2857142857143,1372.2857142857142,1866.7142857142858,1041.2857142857142,1355.7142857142858,1028.857142857143,1813.857142857143,1516.2857142857142,917,1434.5714285714287,902.4285714285714,1597.5714285714287,2040,926.1428571428571,2087.285714285714,111.71428571428571,1536,854.1428571428571,1308.857142857143,662,2266.1428571428573,1445.142857142857,960.2142857142857,579.2857142857143,2653.285714285714
20,726.8620689655172,1933.9655172413793,468.57142857142856,2158.1428571428573,1235.2857142857142,847,1372.2857142857142,1866.5714285714287,1041.142857142857,1355.5714285714287,934.1428571428571,1994.857142857143,1516.142857142857,917,1434.857142857143,902,1597.7142857142858,2040,921.4285714285714,2091.4285714285716,111.71428571428571,1535.5714285714287,854.1428571428571,1308.7142857142858,662,2266,1425.7142857142858,968.3571428571429,586.1428571428571,2657.1428571428573
21,730.1551724137931,1917.4137931034481,468.85714285714283,2158.1428571428573,1240.142857142857,849.1428571428571,1372.4285714285713,1866.4285714285713,1040.857142857143,1355.2857142857142,840.5714285714286,2176.1428571428573,1516,917,1435.142857142857,901.5714285714286,1597.857142857143,2040,916.8571428571429,2095.8571428571427,111.85714285714286,1535,854.1428571428571,1308.5714285714287,662,2266,1404.4285714285713,975.9285714285714,593.5714285714286,2660.8571428571427
22,733.4482759,1900.862068965517,468.85714285714283,2158.285714285714,1244.7142857142858,851.2857142857143,1372.5714285714287,1866.4285714285713,1040.7142857142858,1355,793.1428571428571,2266.285714285714,1516.142857142857,917,1435.2857142857142,901.4285714285714,1598,2040,912.4285714285714,2100.5714285714284,112.28571428571429,1534.4285714285713,854.1428571428571,1308.4285714285713,662,2265.8571428571427,1388,977.4285714285714,601.2857142857143,2664.285714285714
23,736.7413793103449,1884.3103448275863,468.42857142857144,2158.1428571428573,1249,853,1372.7142857142858,1866.2857142857142,1040.4285714285713,1354.7142857142858,792.1428571428571,2265.285714285714,1516.2857142857142,917,1435.5714285714287,901.2857142857143,1598,2040,908.1428571428571,2105.714285714286,112.71428571428571,1533.857142857143,854.1428571428571,1308.2857142857142,662,2265.714285714286,1376.5714285714287,972.7142857142857,609.4285714285714,2668
24,740.0344827586207,1867.7586206896553,468,2158.1428571428573,1253.2857142857142,854.8571428571429,1372.857142857143,1866.142857142857,1040.2857142857142,1354.2857142857142,790.1428571428571,2264.5714285714284,1516.4285714285713,917.1428571428571,1435.857142857143,901.2857142857143,1598,2040,904,2111.1428571428573,113.28571428571429,1533.142857142857,854.1428571428571,1308.142857142857,662,2265.5714285714284,1365.857142857143,967.2857142857143,618,2671.8571428571427
25,743.3275862068965,1851.2068965517242,467.42857142857144,2158,1257.5714285714287,856.7142857142857,1373,1866,1040.142857142857,1354.142857142857,787,2264.4285714285716,1516.5714285714287,917.2857142857143,1436,901.2857142857143,1598,2040,900.4285714285714,2116.5714285714284,113.71428571428571,1532.5714285714287,854.1428571428571,1308,662,2265.4285714285716,1356,961.7142857142857,627.1428571428571,2675.5714285714284
26,746.6206896551723,1834.6551724137933,467,2157.8571428571427,1261.7142857142858,858.1428571428571,1373.142857142857,1866,1040,1354,782.8571428571429,2264.8571428571427,1516.7142857142858,917.4285714285714,1436.142857142857,901.4285714285714,1598,2040,896.5714285714286,2122,114.14285714285714,1531.857142857143,854,1308,662,2265.285714285714,1347.142857142857,956.4285714285714,696.1428571428571,2552.6428571428573
27,749.9137931034483,1818.103448275862,466.57142857142856,2157.714285714286,1265,858.8571428571429,1373.142857142857,1866,1040,1353.857142857143,778,2266.1428571428573,1516.857142857143,917.5714285714286,1436.142857142857,901.7142857142857,1598,2040,892.7142857142857,2127.4285714285716,114.42857142857143,1531,854,1308,662,2265.1428571428573,1339.857142857143,952.1428571428571,825.5714285714286,2302.785714285714
28,753.2068965517241,1801.5517241379312,466.2857142857143,2157.714285714286,1267.857142857143,859,1373.2857142857142,1865.857142857143,1040,1353.857142857143,773.4285714285714,2267.714285714286,1517,917.7142857142857,1436,902,1598,2040,889,2132.4285714285716,114.71428571428571,1530.142857142857,854,1308,661.8571428571429,2265,1334.5714285714287,948.4285714285714,953.5714285714286,2052.214285714286
29,756.5,1785,466.2857142857143,2157.4285714285716,1270.7142857142858,858.8571428571429,1373.2857142857142,1865.7142857142858,1040,1353.857142857143,769.4285714285714,2269.5714285714284,1517,917.8571428571429,1436,902.1428571428571,1598,2039.857142857143,885.2857142857143,2137.1428571428573,114.71428571428571,1529,854,1308,661.8571428571429,2265.1428571428573,1330.857142857143,945.7142857142857,1080.4285714285713,1801.357142857143
30,759.7931034482759,1768.4482758620688,466.57142857142856,2157.4285714285716,1273.7142857142858,858.7142857142857,1373.2857142857142,1865.7142857142858,1040,1353.857142857143,765.8571428571429,2271.8571428571427,1517,918,1436.142857142857,902.2857142857143,1598,2039.7142857142858,881.7142857142857,2141,114.71428571428571,1528,854,1308,661.8571428571429,2265.1428571428573,1328.7142857142858,944,1206,1549.7857142857142
31,763.0862068965517,1751.896551724138,467,2157.4285714285716,1276.4285714285713,858.2857142857143,1373.2857142857142,1865.7142857142858,1040,1353.857142857143,762.4285714285714,2274.714285714286,1517,918,1436.2857142857142,902.2857142857143,1598,2039.5714285714287,878.5714285714286,2144,114.57142857142857,1526.857142857143,854,1308,661.8571428571429,2265.1428571428573,1327.5714285714287,943.1428571428571,1330.142857142857,1297.5
32,766.3793103448276,1735.3448275862067,467.57142857142856,2157.5714285714284,1279,857.7142857142857,1373.142857142857,1865.7142857142858,1040,1353.7142857142858,759.1428571428571,2277.4285714285716,1517,918,1436.4285714285713,902.4285714285714,1598,2039.4285714285713,874.8571428571429,2146.1428571428573,114.42857142857143,1525.4285714285713,854,1307.857142857143,661.8571428571429,2265.1428571428573,1327.4285714285713,942.8571428571429,1452.7142857142858,1045.0714285714287
33,769.6724137931035,1718.7931034482758,468.14285714285717,2157.8571428571427,1281.857142857143,857,1373.142857142857,1865.7142857142858,1040,1353.5714285714287,756.4285714285714,2280,1517.142857142857,918.1428571428571,1436.7142857142858,902.5714285714286,1598,2039.2857142857142,871.4285714285714,2147.5714285714284,114.28571428571429,1524,854,1307.7142857142858,661.8571428571429,2265.1428571428573,1327.7142857142858,942.8571428571429,1514,919
34,772.9655172413793,1702.2413793103447,468.7142857142857,2158.1428571428573,1285.2857142857142,856.2857142857143,1373.142857142857,1865.7142857142858,1040,1353.4285714285713,754.4285714285714,2281.8571428571427,1517.142857142857,918.5714285714286,1437.142857142857,903,1598,2039.142857142857,867.7142857142857,2148.4285714285716,114.14285714285714,1522.5714285714287,854,1307.5714285714287,661.7142857142857,2265.1428571428573,1328.142857142857,942.8571428571429,1514,919.4285714285714
35,776.2586206896551,1685.6896551724137,469.14285714285717,2158.285714285714,1288.5714285714287,855.4285714285714,1373,1865.857142857143,1040,1353.2857142857142,752.5714285714286,2283.4285714285716,1517.2857142857142,919,1437.7142857142858,903.7142857142857,1598,2039,863.7142857142857,2148.8571428571427,114.14285714285714,1520.857142857143,854,1307.4285714285713,661.7142857142857,2265.1428571428573,1328.4285714285713,943,1514,920
36,779.5517241,1669.1379310344826,469.57142857142856,2158.5714285714284,1291.857142857143,854.4285714285714,1373,1866,1040,1353.142857142857,750.8571428571429,2284.5714285714284,1517.4285714285713,919.4285714285714,1438.4285714285713,905,1598,2039,859.1428571428571,2148.5714285714284,114.28571428571429,1519.2857142857142,854,1307.2857142857142,661.5714285714286,2265,1328.7142857142858,943.1428571428571,1514,920.4285714285714
37,782.8448275862069,1652.5862068965519,469.85714285714283,2158.714285714286,1294.857142857143,853.5714285714286,1373,1866,1040,1353,748.8571428571429,2284.8571428571427,1517.7142857142858,919.8571428571429,1439.142857142857,906.8571428571429,1598,2039,853.8571428571429,2148,114.42857142857143,1517.5714285714287,854,1307.142857142857,661.4285714285714,2265,1329,943.4285714285714,1514,920.8571428571429
38,786.1379310344827,1636.0344827586207,470,2158.8571428571427,1297.7142857142858,853,1373,1866,1040,1353,747,2284,1518,920.1428571428571,1431.7857142857142,910.7857142857143,1598,2039,848.2857142857143,2147.1428571428573,114.57142857142857,1516,854.1428571428571,1307,661.2857142857143,2265.1428571428573,1329.142857142857,943.7142857142857,1514,921.1428571428571
39,789.4310344827587,1619.4827586206898,470,2159,1300.7142857142858,852.8571428571429,1373,1866,1040,1353,745.4285714285714,2282.5714285714284,1518.2857142857142,920.4285714285714,1416.357142857143,916.6428571428571,1598,2039,842.8571428571429,2146.285714285714,114.85714285714286,1514.5714285714287,854.2857142857143,1307,661,2265.285714285714,1329.2857142857142,944.1428571428571,1514.142857142857,921.4285714285714
40,792.7241379310344,1602.9310344827586,469.85714285714283,2159,1303.5714285714287,853.1428571428571,1373,1866,1040,1353,744,2280.714285714286,1518.4285714285713,920.4285714285714,1401.0714285714287,922.3571428571429,1598,2039,837.7142857142857,2145.285714285714,115.28571428571429,1513.142857142857,854.4285714285714,1307,660.7142857142857,2265.4285714285716,1329.5714285714287,944.5714285714286,1514.4285714285713,921.4285714285714
41,796.0172413793105,1586.3793103448277,469.42857142857144,2158.8571428571427,1306.2857142857142,853.5714285714286,1373,1865.857142857143,1040,1353,742.5714285714286,2278.4285714285716,1518.5714285714287,920.1428571428571,1386.0714285714287,927.7857142857143,1598,2039,832.8571428571429,2144.1428571428573,115.71428571428571,1511.5714285714287,854.5714285714286,1307,660.5714285714286,2265.5714285714284,1330.2857142857142,945.1428571428571,1514.7142857142858,921.1428571428571
42,799.3103448275862,1569.8275862068965,469,2158.714285714286,1308.7142857142858,854.2857142857143,1373,1865.7142857142858,1040,1353,741.1428571428571,2275.8571428571427,1518.5714285714287,919.7142857142857,1334.0714285714287,1062.2142857142858,1598,2039,828.5714285714286,2143.4285714285716,116,1510.142857142857,854.7142857142857,1307,660.4285714285714,2265.714285714286,1331.142857142857,945.8571428571429,1515.142857142857,920.7142857142857
43,802.6034482758621,1553.2758620689656,468.42857142857144,2158.5714285714284,1310.857142857143,855.2857142857143,1373,1865.5714285714287,1040,1353,739.5714285714286,2272.5714285714284,1518.5714285714287,919.2857142857143,1245.0714285714287,1325.2142857142858,1598.142857142857,2039,825.2857142857143,2142.5714285714284,116.42857142857143,1508.5714285714287,854.7142857142857,1307,660.1428571428571,2265.8571428571427,1332.2857142857142,946.4285714285714,1515.5714285714287,920.1428571428571
44,805.8965517241379,1536.7241379310344,467.85714285714283,2158.285714285714,1313.2857142857142,856.1428571428571,1373.142857142857,1865.4285714285713,1040,1353,738.2857142857143,2269.4285714285716,1518.4285714285713,918.7142857142857,1156.7857142857142,1588.2142857142858,1598.2857142857142,2039,823.2857142857143,2141.5714285714284,117.14285714285714,1506.7142857142858,854.8571428571429,1307,659.8571428571429,2266,1333.857142857143,946.5714285714286,1516,919.4285714285714
45,809.1896551724138,1520.1724137931033,467.2857142857143,2158.1428571428573,1315.7142857142858,856.8571428571429,1373.2857142857142,1865.2857142857142,1040,1353,737.4285714285714,2266.5714285714284,1518.142857142857,918.2857142857143,1077.2857142857142,1849.5714285714287,1598.4285714285713,2039,822,2140.4285714285716,118,1504.857142857143,854.8571428571429,1306.857142857143,659.5714285714286,2266,1336.2857142857142,946.7142857142857,1516.4285714285713,918.8571428571429
46,812.4827586206895,1503.6206896551723,466.7142857142857,2158,1317.5714285714287,857.4285714285714,1373.4285714285713,1865.142857142857,1040.142857142857,1353,736.8571428571429,2263.4285714285716,1517.7142857142858,918,1006,2108.8571428571427,1598.5714285714287,2039,821.2857142857143,2139,118.85714285714286,1503,854.8571428571429,1306.7142857142858,659.5714285714286,2266.1428571428573,1339.2857142857142,947,1516.7142857142858,918.4285714285714
47,815.7758620689656,1487.0689655172412,466.14285714285717,2157.8571428571427,1318.857142857143,858,1373.5714285714287,1865,1040.142857142857,1353,736.4285714285714,2260.1428571428573,1517.2857142857142,917.8571428571429,934.4285714285714,2368,1598.5714285714287,2039,820.7142857142857,2137.285714285714,119.71428571428571,1501.2857142857142,854.8571428571429,1306.5714285714287,659.5714285714286,2266.285714285714,1342.5714285714287,947.5714285714286,1512.7857142857142,924.5
48,819.0689655172413,1470.5172413793102,465.85714285714283,2157.8571428571427,1319.857142857143,858.7142857142857,1373.7142857142858,1865,1040.2857142857142,1353,736,2256.714285714286,1517,917.7142857142857,862.4285714285714,2627.1428571428573,1598.5714285714287,2039,820.5714285714286,2135.714285714286,120.57142857142857,1499.2857142857142,854.7142857142857,1306.5714285714287,659.5714285714286,2266.4285714285716,1346.142857142857,948.1428571428571,1504.7857142857142,936.9285714285714
49,822.3620689655172,1453.965517241379,465.42857142857144,2158,1320.7142857142858,859.4285714285714,1373.857142857143,1865,1040.4285714285713,1353,735.7142857142857,2253.4285714285716,1516.5714285714287,917.8571428571429,827.1428571428571,2756.714285714286,1598.5714285714287,2039,820.4285714285714,2133.714285714286,121.42857142857143,1497.2857142857142,854.7142857142857,1306.4285714285713,659.4285714285714,2266.5714285714284,1350.4285714285713,948.2857142857143,1497.0714285714287,950.7857142857143
50,825.6551724137931,1437.4137931034481,464.85714285714283,2158.285714285714,1321.7142857142858,860,1374,1865,1040.5714285714287,1353,735.5714285714286,2251.1428571428573,1516.142857142857,918,829.1428571428571,2756.714285714286,1598.5714285714287,2039,820.1428571428571,2131.5714285714284,122.28571428571429,1495.142857142857,854.7142857142857,1306.4285714285713,659.4285714285714,2266.714285714286,1355.142857142857,948.1428571428571,1489.7857142857142,965.6428571428571
51,828.9482759,1420.8620689655174,463.85714285714283,2158.8571428571427,1322.5714285714287,860.7142857142857,1374,1865,1040.7142857142858,1353,735.2857142857143,2249.1428571428573,1515.7142857142858,918.2857142857143,830.7142857142857,2755.4285714285716,1598.4285714285713,2039,819.5714285714286,2129.5714285714284,122.85714285714286,1493,854.5714285714286,1306.4285714285713,659.4285714285714,2266.8571428571427,1360,948,1482.7857142857142,981.5
52,832.2413793103449,1404.3103448275863,462.14285714285717,2159.8571428571427,1323.5714285714287,861.4285714285714,1374,1865,1040.857142857143,1353,734.8571428571429,2246.5714285714284,1515.4285714285713,918.5714285714286,831.8571428571429,2753.1428571428573,1598.4285714285713,2039,818.7142857142857,2127.8571428571427,123.42857142857143,1490.7142857142858,854.4285714285714,1306.5714285714287,659.4285714285714,2267,1364.7142857142858,947.4285714285714,1476.357142857143,998.6428571428571
53,835.5344827586207,1387.7586206896551,460,2161.1428571428573,1324.857142857143,862,1374,1865,1040.7142857142858,1353,734.4285714285714,2243.714285714286,1515.2857142857142,918.8571428571429,833.7142857142857,2750.285714285714,1598.4285714285713,2039,818.4285714285714,2126.285714285714,123.85714285714286,1488.4285714285713,854.2857142857143,1306.7142857142858,659.4285714285714,2267,1369.7142857142858,946.1428571428571,1470.5,1017.0714285714286
54,838.8275862068966,1371.2068965517242,457.2857142857143,2162.5714285714284,1326.2857142857142,862.5714285714286,1374,1865,1040.7142857142858,1353,734.1428571428571,2240.1428571428573,1515.142857142857,919.1428571428571,836.4285714285714,2747,1598.5714285714287,2039,818.2857142857143,2125,124.28571428571429,1486,854.2857142857143,1306.857142857143,659.4285714285714,2267,1375.5714285714287,943.7142857142857,1469.142857142857,1030.7142857142858
55,842.1206896551724,1354.655172413793,454,2164.5714285714284,1327.5714285714287,863,1374,1865,1040.7142857142858,1353,734,2235.8571428571427,1515,919.4285714285714,839.8571428571429,2743,1598.5714285714287,2039,818,2124,124.71428571428571,1483.857142857143,854.2857142857143,1306.857142857143,659.4285714285714,2267,1381.5714285714287,940.7142857142857,1463.857142857143,1114.142857142857
56,845.5290640394088,1359.696551724138,450.14285714285717,2166.714285714286,1328.7142857142858,863.4285714285714,1374,1865,1040.5714285714287,1353,733.8571428571429,2231,1515,919.5714285714286,844,2738.5714285714284,1598.7142857142858,2039,817.8571428571429,2123,125.28571428571429,1481.857142857143,854.1428571428571,1307,659.5714285714286,2267,1387.5714285714287,937.4285714285714,1450.142857142857,1272.4285714285713
57,849.0527094,1386.3310344827585,445.85714285714283,2169,1329.4285714285713,863.8571428571429,1374,1865,1040.4285714285713,1353,733.5714285714286,2225.285714285714,1515,919.7142857142857,848.4285714285714,2733.714285714286,1598.7142857142858,2039,818,2122.1428571428573,126,1479.5714285714287,854.1428571428571,1307,659.7142857142857,2267,1393.7142857142858,933.7142857142857,1436,1429.857142857143
58,852.6916256157635,1434.558620689655,441.14285714285717,2171.5714285714284,1329.857142857143,864.2857142857143,1374,1865,1040.2857142857142,1353,733.1428571428571,2219.1428571428573,1515,919.8571428571429,853,2728.1428571428573,1598.7142857142858,2039,818.5714285714286,2121.1428571428573,126.71428571428571,1477.4285714285713,854.1428571428571,1307,659.8571428571429,2267,1400.2857142857142,929.2857142857143,1421.5714285714287,1586.4285714285713
59,856.4458128078819,1504.3793103448277,436.14285714285717,2173.5714285714284,1330,864.7142857142857,1374,1865,1040.142857142857,1353,732.7142857142857,2213.5714285714284,1515,920,857.5714285714286,2722.285714285714,1598.5714285714287,2039,819.2857142857143,2120.1428571428573,127.28571428571429,1475.5714285714287,854.1428571428571,1307,660.1428571428571,2267,1407,924.7142857142857,1406.5714285714287,1741.7142857142858
60,860.3152709359607,1595.7931034482758,430.7142857142857,2175.4285714285716,1330,865.1428571428571,1374,1865,1040.142857142857,1353,732.1428571428571,2208.5714285714284,1515,920,861.5714285714286,2715.8571428571427,1598.4285714285713,2039,819.1428571428571,2119,128,1473.7142857142858,854.1428571428571,1307,660.2857142857143,2267,1413.142857142857,920.1428571428571,1391,1895.5714285714287
61,864.3,1708.8,424.85714285714283,2177.4285714285716,1330,865.4285714285714,1374,1865,1040.142857142857,1353,731.2857142857143,2204.285714285714,1515,920,865.2857142857143,2709,1598.2857142857142,2039,819.1428571428571,2117.8571428571427,128.57142857142858,1472,854,1307,660.4285714285714,2267,1418.142857142857,916.1428571428571,1375,2047.857142857143
62,868.3999999999999,1843.3999999999999,418.85714285714283,2179.1428571428573,1330,865.7142857142857,1373.857142857143,1865,1040,1353,730,2200.714285714286,1515,920,869.1428571428571,2701.8571428571427,1598.2857142857142,2039,819.5714285714286,2116.4285714285716,129.28571428571428,1470.4285714285713,854,1307,660.5714285714286,2266.8571428571427,1422.4285714285713,912.5714285714286,1367,2124
63,872.5,1978,412.7142857142857,2180.714285714286,1330,865.8571428571429,1373.7142857142858,1865,1040,1353,728,2197,1515,920,872.7142857142857,2694.285714285714,1598.142857142857,2039,820.1428571428571,2114.8571428571427,130.14285714285714,1468.5714285714287,854,1307,660.8571428571429,2266.714285714286,1425.857142857143,909.7142857142857,1367,2124
64,876.6,2112.6,406.57142857142856,2182.1428571428573,1330.142857142857,865.8571428571429,1373.5714285714287,1865,1040,1353,725.7142857142857,2193.4285714285716,1515.142857142857,920.1428571428571,876.1428571428571,2686.1428571428573,1598,2039,820.5714285714286,2113.1428571428573,130.85714285714286,1467,854,1307,661.1428571428571,2266.4285714285716,1428.4285714285713,908,1367,2124
65,880.7,2247.2,481.64285714285717,2092.785714285714,1330.2857142857142,865.8571428571429,1373.4285714285713,1865,1040,1353,723.4285714285714,2189.8571428571427,1515.2857142857142,920.2857142857143,876.5,2582.5714285714284,1598,2039,820.8571428571429,2111.714285714286,131.71428571428572,1465.2857142857142,854,1307,661.4285714285714,2266.1428571428573,1429.7142857142858,907.7142857142857,1367,2124
